question_id,category,models_correct
0,Treatment/Management,4
1,Diagnosis,4
2,Diagnosis,3
3,Diagnosis,3
4,Clinical Findings,2
5,Mechanism/Pathophysiology,5
6,Diagnosis,5
7,Treatment/Management,4
8,Clinical Findings,4
9,Clinical Findings,1
10,Clinical Findings,1
11,Diagnosis,0
12,Clinical Findings,1
13,Mechanism/Pathophysiology,5
14,Diagnosis,2
15,Mechanism/Pathophysiology,1
16,Clinical Findings,0
17,Diagnosis,2
18,Next Step/Workup,5
19,Mechanism/Pathophysiology,1
20,Next Step/Workup,3
21,Next Step/Workup,5
22,Mechanism/Pathophysiology,5
23,Treatment/Management,0
24,Next Step/Workup,5
25,Treatment/Management,1
26,Diagnosis,0
27,Treatment/Management,5
28,Diagnosis,1
29,Clinical Findings,5
30,Diagnosis,5
31,Diagnosis,3
32,Diagnosis,5
33,Next Step/Workup,0
34,Next Step/Workup,4
35,Diagnosis,2
36,Treatment/Management,0
37,Next Step/Workup,0
38,Clinical Findings,4
39,Treatment/Management,2
40,Treatment/Management,5
41,Clinical Findings,5
42,Diagnosis,0
43,Diagnosis,1
44,Diagnosis,1
45,Clinical Findings,1
46,Next Step/Workup,3
47,Next Step/Workup,4
48,Diagnosis,5
49,Clinical Findings,0
50,Clinical Findings,0
51,Diagnosis,4
52,Clinical Findings,1
53,Clinical Findings,3
54,Next Step/Workup,4
55,Diagnosis,0
56,Next Step/Workup,3
57,Next Step/Workup,2
58,Treatment/Management,4
59,Treatment/Management,5
60,Treatment/Management,4
61,Clinical Findings,4
62,Mechanism/Pathophysiology,1
63,Next Step/Workup,2
64,Mechanism/Pathophysiology,2
65,Clinical Findings,2
66,Treatment/Management,3
67,Next Step/Workup,5
68,Next Step/Workup,5
69,Treatment/Management,4
70,Mechanism/Pathophysiology,4
71,Treatment/Management,5
72,Treatment/Management,3
73,Diagnosis,4
74,Mechanism/Pathophysiology,5
75,Treatment/Management,2
76,Mechanism/Pathophysiology,5
77,Diagnosis,1
78,Treatment/Management,2
79,Diagnosis,3
80,Diagnosis,1
81,Next Step/Workup,5
82,Clinical Findings,3
83,Clinical Findings,3
84,Mechanism/Pathophysiology,3
85,Next Step/Workup,0
86,Clinical Findings,0
87,Mechanism/Pathophysiology,5
88,Next Step/Workup,5
89,Clinical Findings,5
90,Next Step/Workup,5
91,Next Step/Workup,4
92,Clinical Findings,1
93,Next Step/Workup,5
94,Mechanism/Pathophysiology,3
95,Clinical Findings,5
96,Diagnosis,5
97,Diagnosis,2
98,Clinical Findings,5
99,Clinical Findings,5
100,Clinical Findings,1
101,Mechanism/Pathophysiology,3
102,Mechanism/Pathophysiology,4
103,Treatment/Management,4
104,Treatment/Management,4
105,Treatment/Management,3
106,Diagnosis,4
107,Clinical Findings,4
108,Next Step/Workup,4
109,Treatment/Management,1
110,Next Step/Workup,0
111,Clinical Findings,2
112,Mechanism/Pathophysiology,5
113,Treatment/Management,3
114,Treatment/Management,5
115,Clinical Findings,4
116,Next Step/Workup,2
117,Next Step/Workup,5
118,Diagnosis,4
119,Mechanism/Pathophysiology,4
120,Treatment/Management,3
121,Treatment/Management,4
122,Clinical Findings,5
123,Clinical Findings,1
124,Next Step/Workup,3
125,Mechanism/Pathophysiology,0
126,Next Step/Workup,1
127,Clinical Findings,5
128,Diagnosis,2
129,Diagnosis,5
130,Next Step/Workup,4
131,Diagnosis,5
132,Mechanism/Pathophysiology,5
133,Diagnosis,1
134,Clinical Findings,4
135,Treatment/Management,3
136,Mechanism/Pathophysiology,3
137,Clinical Findings,0
138,Mechanism/Pathophysiology,1
139,Diagnosis,0
140,Treatment/Management,2
141,Next Step/Workup,5
142,Mechanism/Pathophysiology,4
143,Mechanism/Pathophysiology,2
144,Diagnosis,5
145,Next Step/Workup,4
146,Clinical Findings,3
147,Next Step/Workup,1
148,Clinical Findings,4
149,Mechanism/Pathophysiology,0
150,Diagnosis,3
151,Clinical Findings,0
152,Next Step/Workup,5
153,Treatment/Management,0
154,Clinical Findings,5
155,Treatment/Management,4
156,Mechanism/Pathophysiology,0
157,Mechanism/Pathophysiology,4
158,Treatment/Management,1
159,Clinical Findings,5
160,Diagnosis,0
161,Clinical Findings,5
162,Clinical Findings,0
163,Diagnosis,3
164,Clinical Findings,0
165,Mechanism/Pathophysiology,0
166,Clinical Findings,5
167,Mechanism/Pathophysiology,5
168,Clinical Findings,5
169,Treatment/Management,4
170,Next Step/Workup,3
171,Mechanism/Pathophysiology,3
172,Mechanism/Pathophysiology,1
173,Diagnosis,0
174,Treatment/Management,5
175,Treatment/Management,3
176,Clinical Findings,5
177,Treatment/Management,1
178,Mechanism/Pathophysiology,5
179,Mechanism/Pathophysiology,1
180,Treatment/Management,3
181,Next Step/Workup,4
182,Diagnosis,3
183,Next Step/Workup,5
184,Treatment/Management,5
185,Clinical Findings,5
186,Next Step/Workup,5
187,Treatment/Management,3
188,Treatment/Management,0
189,Diagnosis,4
190,Next Step/Workup,0
191,Treatment/Management,5
192,Clinical Findings,0
193,Mechanism/Pathophysiology,4
194,Next Step/Workup,0
195,Mechanism/Pathophysiology,5
196,Mechanism/Pathophysiology,5
197,Next Step/Workup,3
198,Diagnosis,1
199,Mechanism/Pathophysiology,0
200,Treatment/Management,5
201,Mechanism/Pathophysiology,5
202,Diagnosis,5
203,Clinical Findings,1
204,Clinical Findings,1
205,Mechanism/Pathophysiology,4
206,Next Step/Workup,0
207,Treatment/Management,5
208,Diagnosis,1
209,Next Step/Workup,1
210,Diagnosis,4
211,Treatment/Management,4
212,Diagnosis,4
213,Treatment/Management,5
214,Next Step/Workup,1
215,Next Step/Workup,1
216,Next Step/Workup,3
217,Mechanism/Pathophysiology,0
218,Diagnosis,5
219,Next Step/Workup,0
220,Mechanism/Pathophysiology,5
221,Next Step/Workup,4
222,Clinical Findings,4
223,Next Step/Workup,0
224,Diagnosis,5
225,Diagnosis,4
226,Mechanism/Pathophysiology,4
227,Diagnosis,4
228,Treatment/Management,2
229,Next Step/Workup,5
230,Diagnosis,2
231,Diagnosis,2
232,Next Step/Workup,4
